EMMReg,Year,Summer-MaxHr,Summer-MinHr,Summer-PeakStartHr,Summer-PeakEndHr,Summer-TakeStartHr1,Summer-TakeEndHr1,Summer-TakeStartHr2,Summer-TakeEndHr2,Summer-TakeStartHr3,Summer-TakeEndHr3,Winter-MaxHr,Winter-MinHr,Winter-PeakStartHr,Winter-PeakEndHr,Winter-TakeStartHr1,Winter-TakeEndHr1,Winter-TakeStartHr2,Winter-TakeEndHr2,Winter-TakeStartHr3,Winter-TakeEndHr3,Inter-MaxHr,Inter-MinHr,Inter-PeakStartHr,Inter-PeakEndHr,Inter-TakeStartHr1,Inter-TakeEndHr1,Inter-TakeStartHr2,Inter-TakeEndHr2,Inter-TakeStartHr3,Inter-TakeEndHr3
3,2035,9,4,8,11,1,5,,,,,9,5,7,10,1,6,24,24,,,11,4,10,13,1,6,24,24,,
4,2035,18,3,17,20,1,5,24,24,,,9,3,7,10,1,6,12,16,22,24,18,3,17,20,1,5,23,24,,
5,2035,19,13,17,20,11,15,,,,,9,13,7,10,12,15,,,,,20,13,18,21,11,15,,,,
6,2035,21,14,19,22,11,14,,,,,9,13,7,10,12,15,,,,,19,12,17,20,12,15,,,,
7,2035,18,11,16,19,5,5,9,15,,,9,13,7,10,10,15,,,,,18,13,16,19,10,15,,,,
8,2035,18,5,17,20,3,7,,,,,9,5,7,10,3,8,10,13,,,12,7,11,14,1,9,24,24,,
9,2035,18,5,17,20,3,14,,,,,9,13,7,10,4,6,10,15,,,19,12,17,20,4,15,,,,
10,2035,19,11,17,20,4,6,8,14,,,9,13,7,10,11,15,,,,,19,12,17,20,10,15,,,,
11,2035,19,12,17,20,1,6,10,15,,,9,13,7,10,11,16,,,,,19,13,17,20,10,15,,,,
12,2035,18,5,17,20,2,7,,,,,9,5,7,10,2,8,,,,,18,5,17,20,1,7,,,,
13,2035,19,12,17,20,10,14,,,,,9,13,7,10,11,15,,,,,19,12,17,20,11,14,,,,
14,2035,19,12,17,20,10,13,,,,,9,13,7,10,12,14,,,,,20,12,18,21,11,14,,,,
15,2035,20,12,18,21,11,13,,,,,9,13,7,10,12,15,,,,,20,12,18,21,11,14,,,,
16,2035,19,11,17,20,10,14,,,,,9,13,7,10,11,14,,,,,20,12,18,21,10,14,,,,
17,2035,19,11,17,20,10,13,,,,,9,14,7,10,11,16,,,,,19,13,17,20,10,16,,,,
18,2035,18,3,17,20,1,5,,,,,9,4,7,10,1,6,14,14,,,18,4,17,20,1,5,24,24,,
19,2035,18,3,17,20,1,5,24,24,,,9,3,7,10,1,6,24,24,,,18,4,17,20,1,6,24,24,,
20,2035,18,11,16,19,3,6,9,14,,,9,13,7,10,11,15,,,,,19,12,17,20,10,15,,,,
21,2035,2,14,0,3,12,15,,,,,9,13,7,10,11,15,,,,,3,13,1,4,12,16,,,,
22,2035,24,12,22,25,12,15,,,,,9,13,7,10,12,15,,,,,3,14,1,4,12,15,,,,
23,2035,19,14,17,20,10,16,,,,,9,13,7,10,11,15,,,,,19,13,17,20,11,15,,,,
24,2035,18,5,17,20,1,6,24,24,,,9,14,7,10,4,5,10,15,,,19,14,17,20,1,6,9,15,24,24
25,2035,19,11,17,20,10,15,,,,,9,13,7,10,12,14,,,,,19,13,17,20,12,14,,,,
1,2040,19,11,17,20,10,13,,,,,9,12,7,10,11,15,,,,,19,12,17,20,11,15,,,,
2,2040,19,12,17,20,10,13,,,,,9,14,7,10,12,15,,,,,19,13,17,20,11,15,,,,
3,2040,18,4,17,20,1,5,,,,,9,5,7,10,1,6,24,24,,,10,4,9,12,1,6,24,24,,
4,2040,18,3,17,20,1,5,24,24,,,9,23,7,10,1,6,12,16,21,24,18,3,17,20,1,6,22,24,,
5,2040,19,13,17,20,11,15,,,,,9,14,7,10,12,15,,,,,19,13,17,20,11,15,,,,
6,2040,19,12,17,20,11,14,,,,,9,13,7,10,12,15,,,,,19,12,17,20,12,15,,,,
7,2040,18,11,16,19,9,14,,,,,9,13,7,10,10,15,,,,,18,13,16,19,10,15,,,,
8,2040,18,5,17,20,3,7,,,,,9,6,7,10,4,14,,,,,18,6,17,20,3,14,,,,
9,2040,18,5,17,20,3,15,,,,,9,13,7,10,5,6,10,15,,,18,12,16,19,5,15,,,,
10,2040,18,11,16,19,5,6,8,14,,,9,13,7,10,11,15,,,,,19,12,17,20,10,15,,,,
11,2040,19,12,17,20,1,7,10,15,,,9,13,7,10,11,16,,,,,19,13,17,20,10,15,,,,
12,2040,18,5,17,20,3,7,,,,,9,5,7,10,2,8,13,13,,,18,5,17,20,1,8,,,,
13,2040,19,12,17,20,11,13,,,,,9,13,7,10,12,14,,,,,20,12,18,21,11,14,,,,
14,2040,22,12,20,23,10,13,,,,,9,13,7,10,12,14,,,,,24,12,22,25,11,14,,,,
15,2040,19,12,17,20,10,13,,,,,9,13,7,10,12,15,,,,,20,12,18,21,11,14,,,,
16,2040,19,12,17,20,10,13,,,,,9,13,7,10,11,14,,,,,21,12,19,22,11,14,,,,
17,2040,19,11,17,20,10,12,,,,,9,14,7,10,12,15,,,,,19,13,17,20,11,15,,,,
18,2040,18,4,17,20,1,5,,,,,9,4,7,10,1,6,13,15,24,24,18,4,17,20,1,6,24,24,,
19,2040,18,5,17,20,1,6,24,24,,,9,5,7,10,1,6,24,24,,,18,5,17,20,1,6,24,24,,
20,2040,19,10,17,20,9,14,,,,,9,12,7,10,11,15,,,,,19,11,17,20,10,15,,,,
21,2040,1,13,-1,2,12,15,,,,,9,13,7,10,12,15,,,,,2,13,0,3,12,15,,,,
22,2040,2,12,0,3,12,15,,,,,9,13,7,10,12,15,,,,,2,15,0,3,12,15,,,,
23,2040,2,14,0,3,10,15,,,,,9,13,7,10,11,14,,,,,2,13,0,3,11,15,,,,
24,2040,18,5,17,20,1,6,10,10,24,24,9,13,7,10,10,15,,,,,19,14,17,20,5,5,10,15,24,24
25,2040,20,11,18,21,10,12,,,,,9,12,7,10,11,14,,,,,20,12,18,21,11,14,,,,
1,2045,19,11,17,20,10,13,,,,,9,12,7,10,12,15,,,,,19,12,17,20,11,15,,,,
2,2045,19,12,17,20,11,13,,,,,9,14,7,10,12,15,,,,,19,13,17,20,12,15,,,,
3,2045,18,5,17,20,1,6,,,,,9,5,7,10,2,6,,,,,10,5,9,12,1,6,24,24,,
4,2045,18,3,17,20,1,6,23,24,,,9,23,7,10,1,6,11,16,21,24,18,3,17,20,1,6,22,24,,
5,2045,19,13,17,20,11,15,,,,,9,14,7,10,12,15,,,,,19,13,17,20,11,15,,,,
6,2045,20,11,18,21,11,12,,,,,9,13,7,10,12,14,,,,,19,13,17,20,12,15,,,,
7,2045,18,11,16,19,10,14,,,,,9,13,7,10,10,14,,,,,2,11,0,3,10,14,,,,
8,2045,18,5,17,20,3,8,,,,,9,6,7,10,4,14,,,,,18,6,17,20,4,14,,,,
9,2045,19,11,17,20,5,14,,,,,9,13,7,10,10,15,,,,,19,12,17,20,9,15,,,,
10,2045,18,11,16,19,5,6,8,14,,,9,13,7,10,11,15,,,,,19,12,17,20,10,15,,,,
11,2045,19,12,17,20,1,1,3,7,10,15,9,13,7,10,11,16,,,,,19,13,17,20,10,15,,,,
12,2045,18,5,17,20,3,7,,,,,9,6,7,10,2,8,12,13,,,18,6,17,20,1,8,,,,
13,2045,19,11,17,20,11,13,,,,,9,13,7,10,12,14,,,,,20,12,18,21,11,14,,,,
14,2045,21,12,19,22,10,13,,,,,9,13,7,10,12,14,,,,,24,12,22,25,11,14,,,,
15,2045,20,12,18,21,11,13,,,,,9,14,7,10,12,15,,,,,20,12,18,21,12,15,,,,
16,2045,20,11,18,21,10,13,,,,,9,13,7,10,11,14,,,,,19,12,17,20,11,14,,,,
17,2045,19,11,17,20,10,12,,,,,9,14,7,10,12,15,,,,,19,13,17,20,11,15,,,,
18,2045,18,4,17,20,1,5,,,,,9,5,7,10,1,6,13,15,24,24,18,4,17,20,1,6,14,14,24,24
19,2045,18,5,17,20,1,6,24,24,,,9,5,7,10,1,6,24,24,,,18,5,17,20,1,6,,,,
20,2045,19,11,17,20,10,13,,,,,9,12,7,10,11,15,,,,,19,13,17,20,10,15,,,,
21,2045,24,13,22,25,13,16,,,,,9,15,7,10,12,16,,,,,1,15,-1,2,13,16,,,,
22,2045,1,15,-1,2,12,15,,,,,9,15,7,10,13,15,,,,,1,15,-1,2,13,15,,,,
23,2045,2,14,0,3,10,15,,,,,9,13,7,10,11,14,,,,,2,13,0,3,11,15,,,,
24,2045,18,5,17,20,1,6,24,24,,,9,12,7,10,10,15,,,,,19,13,17,20,9,15,,,,
25,2045,20,11,18,21,10,13,,,,,9,12,7,10,12,14,,,,,3,13,1,4,12,14,,,,
1,2050,19,12,17,20,10,13,,,,,9,13,7,10,12,15,,,,,19,12,17,20,11,14,,,,
2,2050,19,12,17,20,11,12,,,,,9,13,7,10,12,15,,,,,20,13,18,21,12,15,,,,
3,2050,18,5,17,20,1,6,,,,,9,5,7,10,2,6,,,,,10,5,9,12,1,6,24,24,,
4,2050,18,3,17,20,1,6,23,24,,,9,23,7,10,1,7,12,16,21,24,18,3,17,20,1,6,22,24,,
5,2050,19,13,17,20,11,15,,,,,9,14,7,10,12,15,,,,,19,13,17,20,11,15,,,,
6,2050,19,11,17,20,11,12,,,,,9,13,7,10,13,14,,,,,20,13,18,21,12,15,,,,
7,2050,18,11,16,19,10,13,,,,,9,13,7,10,10,14,,,,,2,11,0,3,10,14,,,,
8,2050,18,6,17,20,3,8,,,,,9,6,7,10,4,14,,,,,18,6,17,20,4,14,,,,
9,2050,19,11,17,20,10,14,,,,,9,13,7,10,10,15,,,,,19,11,17,20,10,14,,,,
10,2050,19,11,17,20,9,14,,,,,9,13,7,10,11,15,,,,,19,12,17,20,10,14,,,,
11,2050,19,12,17,20,1,1,3,7,10,15,9,13,7,10,11,16,,,,,19,13,17,20,10,15,,,,
12,2050,18,5,17,20,3,11,,,,,9,6,7,10,2,15,,,,,18,6,17,20,1,15,,,,
13,2050,19,11,17,20,11,13,,,,,9,13,7,10,12,14,,,,,21,12,19,22,12,14,,,,
14,2050,19,11,17,20,10,13,,,,,9,13,7,10,12,14,,,,,21,12,19,22,12,14,,,,
15,2050,20,12,18,21,11,13,,,,,9,13,7,10,12,15,,,,,19,12,17,20,12,15,,,,
16,2050,19,12,17,20,10,13,,,,,9,13,7,10,12,14,,,,,23,12,21,24,11,14,,,,
17,2050,19,11,17,20,10,12,,,,,9,14,7,10,12,15,,,,,19,14,17,20,11,15,,,,
18,2050,18,4,17,20,1,6,,,,,9,5,7,10,1,6,13,15,,,18,5,17,20,1,6,13,14,24,24
19,2050,18,5,17,20,1,6,24,24,,,9,5,7,10,1,6,24,24,,,18,5,17,20,1,6,,,,
20,2050,19,11,17,20,10,13,,,,,9,13,7,10,11,15,,,,,19,13,17,20,10,15,,,,
21,2050,3,13,1,4,13,16,,,,,9,13,7,10,12,15,,,,,1,15,-1,2,13,15,,,,
22,2050,1,14,-1,2,13,16,,,,,9,15,7,10,13,15,,,,,24,14,22,25,13,15,,,,
23,2050,2,11,0,3,10,15,,,,,9,13,7,10,11,14,,,,,2,13,0,3,11,14,,,,
24,2050,19,10,17,20,9,13,,,,,9,12,7,10,10,15,,,,,19,12,17,20,10,15,,,,
25,2050,20,11,18,21,10,12,,,,,9,13,7,10,12,13,,,,,3,13,1,4,12,15,,,,
