scenario,description,state(s),building type(s),onsite pct fossil reduction,energy index improvement,stretch pct improvement,start year,applicable fraction,fraction notes,type
optimistic,"New York is updating to IECC 2021/2024 for residential and ASHRAE 90.1-2019/2022 for commercial, with expected effective date of 2025. https://www.energycodes.gov/sites/default/files/2023-11/2023-7-27_DOE_Certification_and_Extension_Letter_Final.pdf#:~:text=%C2%A76833(c)%20in%20light%20of%20the%20fact%20that,is%20anticipated%20to%20become%20effective%20in%202025.",NY,"all residential, all commercial",,adopt current,,2025,1,,state
optimistic,"Gas ban for new construction, starting in different years for large vs. small buildings.

https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A03006&term=&Summary=Y&Text=Y",NY,"single family home, mobile home",100,adopt current,,2026,1,,state
optimistic,"Gas ban for new construction, starting in different years for large vs. small buildings.

 https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A03006&term=&Summary=Y&Text=Y",NY,"all commercial, multi family home",100,adopt current,,2029,1,,state
aggressive,"New York is updating to IECC 2021/2024 for residential and ASHRAE 90.1-2019/2022 for commercial, with expected effective date of 2025. https://www.energycodes.gov/sites/default/files/2023-11/2023-7-27_DOE_Certification_and_Extension_Letter_Final.pdf#:~:text=%C2%A76833(c)%20in%20light%20of%20the%20fact%20that,is%20anticipated%20to%20become%20effective%20in%202025.",NY,"all residential, all commercial",,adopt current,,2025,1,,state
aggressive,"Gas ban for new construction, starting in different years for large vs. small buildings.

https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A03006&term=&Summary=Y&Text=Y",NY,"single family home, mobile home",100,adopt current,,2026,1,,state
aggressive,"Gas ban for new construction, starting in different years for large vs. small buildings.

 https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A03006&term=&Summary=Y&Text=Y",NY,"all commercial, multi family home",100,adopt current,,2029,1,,state
remove,"Oregon stretch code is an optional code that applies to new commercial buildings, including laboratories, data centers, conditioned warehouses, and retail or mercantile buildings over 40,000 ft2 serving a single tenant, and all other new buildings over 100,000 ft2 of conditioned floor area.
https://www.oregon.gov/bcd/codes-stand/Pages/reach.aspx

This Commercial Reach Code is intended to achieve between 5% and 10% improved performance over the 2025 Oregon Energy Efficiency Specialty Code (OEESC), based on the measurement of regulated energy loads.
",OR,all commercial,,stretch,10,2022,1,No data available on adoption,state
remove,"Oregon stretch code is an optional code that applies to new commercial buildings, including laboratories, data centers, conditioned warehouses, and retail or mercantile buildings over 40,000 ft2 serving a single tenant, and all other new buildings over 100,000 ft2 of conditioned floor area.
https://www.oregon.gov/bcd/codes-stand/Pages/reach.aspx",OR,all residential,,stretch,10,2022,1,No data available on adoption,state
reference,"In 2009, Rhode Island was the first state to sign a Green Buildings Act (RIGL §37-24) into law. The Act requires that all new construction and renovation projects over 10,000 gross square feet, constructed by a public agency be designed and constructed to a LEED Certified or an equivalent high performance green building standard.

https://ribcc.ri.gov/green-buildings-act",RI,all commercial,,stretch,10,2009,0.049,state-owned commercial buildings in RI >10k sq ft,local
remove,"Rhode Island’s voluntary residential stretch code was developed as part of the 2015 Lead by Example Executive Order (EO 15-17). It is a voluntary code aimed at helping buildings, contractors, and other industry professionals to design and build high-performance homes. It is based heavily on DOE’s Zero Energy Ready Homes (ZERHs) program and the US Environmental Protection Agency (EPA) Water Sense Program. These homes are built ready to incorporate on-site renewables and lower the carbon footprint of the home as well as save homeowners costs on utilities.

https://energy.ri.gov/sites/g/files/xkgbur741/files/documents/leadbyexample/stretch-code/RIRSC-FINAL-02-14-18.pdf",RI,all residential,,stretch,20,2018,1,No data available on adoption,state
remove,"Rhode Island’s voluntary commercial stretch code was released in 2018 and is based on the 2015 International Green Construction Code (IgCC). Rhode Island amended the 2015 IgCC to create its commercial stretch code, which covers existing buildings, water resources, indoor air quality, and emission reduction, includes both performance and prescriptive approaches and offers incentives and support from National Grid.

https://energy.ri.gov/sites/g/files/xkgbur741/files/documents/leadbyexample/stretch-code/RI-Stretch-Code-Commercial_FINAL-2-16-18.pdf",RI,all commercial,,stretch,20,2018,1,No data available on adoption,state
optimistic,"In 2009, Rhode Island was the first state to sign a Green Buildings Act (RIGL §37-24) into law. The Act requires that all new construction and renovation projects over 10,000 gross square feet, constructed by a public agency be designed and constructed to a LEED Certified or an equivalent high performance green building standard.

https://ribcc.ri.gov/green-buildings-act",RI,all commercial,,stretch,10,2009,0.049,state-owned commercial buildings in RI >10k sq ft,local
optimistic,Assume update to the latest code by 2030.,RI,"all residential, all commercial",,adopt current,,2030,1,,state
aggressive,"In 2009, Rhode Island was the first state to sign a Green Buildings Act (RIGL §37-24) into law. The Act requires that all new construction and renovation projects over 10,000 gross square feet, constructed by a public agency be designed and constructed to a LEED Certified or an equivalent high performance green building standard.

https://ribcc.ri.gov/green-buildings-act",RI,all commercial,,stretch,10,2009,0.049,state-owned commercial buildings in RI >10k sq ft,local
aggressive,Assume state-wide code similar to CA enacted by 2030.,RI,"all residential, all commercial",100,adopt current,,2030,0.8,Assume majority of builders go electric route to avoid more stringent efficiency requirements.,state
aggressive,Assume state-wide code similar to CA enacted by 2030.,RI,"all residential, all commercial",,stretch,20,2030,0.2,Assume minority of builders install gas while choosing to meet more stringent efficiency requirements.,state
reference,"Burlington, VT - In September 2021 the City Council passed an ordinance which requires the installation of a ""renewable"" primary heating system in all new construction.  This means all new buildings must have either electric heat, wood pellets, renewable gas, or biodiesel. A fossil natural gas, propane, or fuel oil system can still be installed as a back-up heating system, but the “renewable” system must cover 85% of the heating load. A waiver may also be granted if it is determined that this heating system would be ""uneconomical.""

https://www.vermontfuel.com/burnerban/ewExternalFiles/Signed-CC-Ordinance-Chapter-8.-Building-And-Building-Construction-Addition-of-Article-V.-Heating-Systems-Signed.pdf",VT,"all residential, all commercial",85,,,2021,0.111,"Fraction represents Chittiden County, Burlington City all commercial/all residential, site_energy",local
optimistic,"Burlington, VT - In September 2021 the City Council passed an ordinance which requires the installation of a ""renewable"" primary heating system in all new construction.  This means all new buildings must have either electric heat, wood pellets, renewable gas, or biodiesel. A fossil natural gas, propane, or fuel oil system can still be installed as a back-up heating system, but the “renewable” system must cover 85% of the heating load. A waiver may also be granted if it is determined that this heating system would be ""uneconomical.""

https://www.vermontfuel.com/burnerban/ewExternalFiles/Signed-CC-Ordinance-Chapter-8.-Building-And-Building-Construction-Addition-of-Article-V.-Heating-Systems-Signed.pdf",VT,"all residential, all commercial",85,,,2021,0.111,"Fraction represents Chittiden County, Burlington City all commercial/all residential, site_energy",local
aggressive,"Burlington, VT - In September 2021 the City Council passed an ordinance which requires the installation of a ""renewable"" primary heating system in all new construction.  This means all new buildings must have either electric heat, wood pellets, renewable gas, or biodiesel. A fossil natural gas, propane, or fuel oil system can still be installed as a back-up heating system, but the “renewable” system must cover 85% of the heating load. A waiver may also be granted if it is determined that this heating system would be ""uneconomical.""

https://www.vermontfuel.com/burnerban/ewExternalFiles/Signed-CC-Ordinance-Chapter-8.-Building-And-Building-Construction-Addition-of-Article-V.-Heating-Systems-Signed.pdf",VT,"all residential, all commercial",85,,,2021,0.111,"Fraction represents Chittiden County, Burlington City all commercial/all residential, site_energy",local
aggressive,Assume state-wide code similar to CA enacted by 2035.,VT,"all residential, all commercial",100,adopt current,,2035,0.8,Assume majority of builders go electric route to avoid more stringent efficiency requirements.,state
aggressive,Assume state-wide code similar to CA enacted by 2035.,VT,"all residential, all commercial",,stretch,20,2035,0.2,Assume minority of builders install gas while choosing to meet more stringent efficiency requirements.,state
reference,"Seattle’s updated Energy Code (CB 119993 / Ordinance 126279) effectively bans natural gas in most new commercial and large residential buildings by requiring electric heating and hot water systems instead of fossil fuel-based systems.

https://www.bdlaw.com/publications/seattle-bans-natural-gas-in-new-buildings/",WA,"all commercial, multi family home",100,,,2022,0.316,"Fraction represents King County, Seattle City, all commercial/multifamily buildings over 3 stories, used site_energy",local
optimistic,"Seattle’s updated Energy Code (CB 119993 / Ordinance 126279) effectively bans natural gas in most new commercial and large residential buildings by requiring electric heating and hot water systems instead of fossil fuel-based systems.

https://www.bdlaw.com/publications/seattle-bans-natural-gas-in-new-buildings/",WA,"all commercial, multi family home",100,,,2022,0.316,"Fraction represents King County, Seattle City, all commercial/multifamily buildings over 3 stories, used site_energy",local
optimistic,Assume update to the latest code by 2030.,WA,"all residential, all commercial",,adopt current,,2030,1,,state
