BLDG,CDIV,LOC,NBLDGS,ROOF,WALL,WIND_SOL,WIND_COND,INFIL,PEOPLE,EQUIP,GROUND,TOTAL_HEAT,ROOF,WALL,WIND_SOL,WIND_COND,INFIL,PEOPLE,EQUIP,GROUND,TOTAL_COOL
1,4,5,12.9,-0.04,-0.12,-0.01,-0.24,-0.22,0.02,0.11,-0.14,-0.64,0.00,0.01,0.04,0.00,0.01,0.00,0.02,-0.01,0.07
1,4,6,37.2,-0.28,-0.47,0.21,-0.42,-0.63,0.04,0.23,-0.34,-1.68,0.15,0.14,0.33,-0.01,0.19,0.03,0.16,-0.03,0.97
1,4,6,74.5,-0.21,-0.55,0.10,-0.97,-1.02,0.08,0.49,-0.42,-2.51,0.11,0.15,0.61,0.06,0.27,0.06,0.30,-0.05,1.52
1,5,7,104.1,-0.93,-1.58,0.74,-1.95,-1.85,0.13,0.75,-1.06,-5.74,0.37,0.27,0.66,-0.03,0.27,0.07,0.28,-0.10,1.79
1,5,7,90.9,-0.29,-0.80,0.12,-1.40,-1.49,0.12,0.75,-0.63,-3.61,0.11,0.14,0.56,0.01,0.17,0.07,0.31,-0.08,1.28
1,5,8,13.1,-0.19,-0.12,0.05,-0.18,-0.19,0.02,0.08,-0.01,-0.55,0.09,0.03,0.06,-0.01,0.04,0.01,0.05,0.00,0.28
1,5,9,18.7,-0.03,-0.02,0.01,-0.02,-0.02,0.00,0.02,0.00,-0.05,0.22,0.07,0.19,-0.01,0.22,0.03,0.20,0.04,0.97
1,5,9,7.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.09,0.00,0.06,0.02,0.08,-0.01,0.28
1,6,10,6.4,-0.07,-0.05,0.02,-0.07,-0.07,0.01,0.03,0.00,-0.21,0.04,0.01,0.03,0.00,0.02,0.01,0.02,0.00,0.14
1,6,10,8.3,-0.02,-0.04,0.03,-0.06,-0.08,0.01,0.04,-0.03,-0.15,0.01,0.01,0.06,0.00,0.02,0.01,0.03,-0.01,0.14
1,7,12,42.1,-0.36,-0.22,0.13,-0.31,-0.35,0.03,0.18,-0.12,-1.01,0.38,0.12,0.28,0.02,0.31,0.06,0.23,-0.07,1.33
1,7,12,98.2,-0.26,-0.27,0.43,-0.99,-0.79,0.08,0.48,-0.33,-1.65,0.29,0.16,0.74,0.17,0.58,0.12,0.49,-0.26,2.29
1,7,13,23.6,-0.12,-0.07,0.04,-0.09,-0.09,0.01,0.07,-0.02,-0.28,0.23,0.06,0.16,-0.01,0.16,0.03,0.14,-0.05,0.72
1,8,14,10.5,-0.11,-0.09,0.06,-0.13,-0.11,0.01,0.06,-0.13,-0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,8,15,5.7,-0.08,-0.06,0.04,-0.10,-0.08,0.01,0.05,-0.10,-0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,8,16,4.1,-0.03,-0.03,0.02,-0.04,-0.03,0.00,0.02,-0.04,-0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,8,17,21.7,-0.10,-0.07,0.04,-0.08,-0.06,0.01,0.07,-0.05,-0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,9,18,7.5,-0.18,-0.13,0.03,-0.13,-0.23,0.01,0.08,-0.03,-0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,9,19,64.3,-1.24,-0.69,0.52,-0.93,-0.92,0.10,0.49,-0.02,-2.69,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.04
1,9,19,27.5,-0.07,-0.17,0.37,-0.33,-0.27,0.03,0.20,-0.17,-0.42,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02
1,9,20,172,-2.36,-1.22,0.91,-1.46,-1.25,0.22,1.10,-0.06,-4.14,0.13,0.03,0.09,-0.02,-0.02,0.00,0.03,0.00,0.24
1,9,20,24.9,-0.04,-0.09,0.19,-0.15,-0.11,0.02,0.11,-0.07,-0.14,0.01,0.01,0.05,-0.01,-0.01,0.00,0.02,-0.01,0.06
2,1,1,747.6,-14.98,-18.57,2.94,-7.21,-13.37,1.69,5.86,-7.51,-51.15,0.63,0.43,0.67,-0.07,0.24,0.18,0.46,-0.38,2.17
2,1,1,19.1,-0.05,-0.04,0.04,-0.21,-0.21,0.02,0.12,-0.13,-0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,2,2,1185.1,-18.47,-22.65,3.40,-8.93,-15.22,2.12,7.40,-8.64,-61.00,1.62,1.09,1.31,-0.16,0.53,0.45,1.11,-0.74,5.21
2,2,2,15.4,-0.03,-0.02,0.02,-0.11,-0.10,0.01,0.06,-0.06,-0.23,0.00,0.00,0.00,0.03,-0.01,0.01,0.01,0.07,0.11
2,3,3,175.2,-4.35,-3.45,0.89,-2.54,-5.77,0.59,2.27,-2.34,-14.70,0.27,0.06,0.30,-0.03,0.11,0.11,0.31,-0.27,0.86
2,3,4,866.6,-21.85,-17.31,4.45,-12.73,-28.98,2.97,11.41,-11.76,-73.80,1.62,0.38,1.77,-0.18,0.66,0.65,1.84,-1.62,5.12
2,3,4,12.6,-0.06,-0.14,0.05,-0.20,-0.29,0.04,0.16,-0.21,-0.66,0.00,0.01,0.01,0.04,0.00,0.01,0.01,0.06,0.14
2,4,5,88.8,-3.15,-2.49,0.50,-1.77,-3.99,0.37,1.41,-2.17,-11.29,0.22,0.04,0.23,-0.03,0.08,0.08,0.21,-0.24,0.60
2,4,6,84.1,-2.04,-1.56,0.54,-1.21,-2.22,0.31,1.21,-1.16,-6.13,0.61,0.30,0.59,-0.03,0.36,0.23,0.66,-0.31,2.39
2,5,7,172.4,-2.19,-3.12,0.60,-1.51,-1.71,0.22,1.27,-0.97,-7.42,0.24,0.19,0.23,-0.02,0.12,0.06,0.27,-0.09,1.00
2,5,7,27.9,-0.11,-0.11,0.04,-0.15,-0.31,0.04,0.24,-0.17,-0.52,0.00,0.02,0.01,0.07,-0.02,0.03,0.04,0.31,0.47
2,5,8,7,-0.03,-0.02,0.01,-0.04,-0.07,0.01,0.06,0.00,-0.08,0.00,0.01,0.01,0.03,-0.01,0.01,0.03,0.16,0.23
2,5,9,38.8,-0.01,-0.01,0.00,-0.01,-0.01,0.00,0.01,0.00,-0.02,0.08,0.08,0.10,-0.01,0.10,0.04,0.15,0.00,0.53
2,6,10,67.6,-0.35,-0.49,0.11,-0.25,-0.23,0.04,0.25,-0.13,-1.05,0.16,0.11,0.12,-0.02,0.05,0.04,0.15,-0.04,0.58
2,7,12,69.4,-0.39,-0.54,0.14,-0.28,-0.27,0.05,0.29,-0.08,-1.08,0.26,0.23,0.21,0.01,0.18,0.07,0.26,-0.05,1.17
2,7,13,12,-0.04,-0.05,0.01,-0.02,-0.02,0.00,0.03,0.00,-0.08,0.04,0.03,0.03,0.00,0.03,0.01,0.05,-0.01,0.18
2,8,14,88.2,-1.16,-1.71,0.72,-1.40,-0.89,0.09,0.72,-0.59,-4.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,8,15,27.5,-0.37,-0.49,0.16,-0.30,-0.19,0.02,0.15,-0.25,-1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,8,15,3.6,-0.03,-0.08,0.02,-0.05,-0.08,0.01,0.08,-0.07,-0.18,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.04
2,8,16,31.6,-0.05,-0.10,0.04,-0.07,-0.10,0.02,0.13,-0.07,-0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03
2,9,18,25.3,-0.50,-0.78,0.23,-0.61,-0.47,0.05,0.42,-0.27,-1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,9,19,136.2,-1.18,-2.32,1.12,-1.28,-0.91,0.15,1.26,-0.44,-3.61,0.02,0.02,0.02,0.00,0.00,0.00,0.01,0.00,0.05
2,9,19,12.4,-0.03,-0.06,0.03,-0.05,-0.07,0.02,0.12,-0.04,-0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,9,20,188.6,-0.48,-0.81,0.43,-0.43,-0.27,0.06,0.57,-0.09,-1.04,0.08,0.07,0.11,-0.03,0.01,0.01,0.06,-0.02,0.30
2,9,20,24.3,-0.01,-0.03,0.01,-0.02,-0.03,0.00,0.06,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,1,1,207,-1.85,-1.13,0.43,-1.35,-1.80,0.15,1.08,-0.90,-5.37,0.05,0.00,0.07,-0.01,0.02,0.02,0.08,-0.06,0.17
2,2,2,1532.7,-8.34,-5.64,2.19,-8.26,-10.04,0.93,6.59,-3.16,-25.73,0.52,0.14,0.72,-0.16,0.25,0.23,1.06,-0.43,2.32
2,2,2,217.9,-0.40,-0.40,0.39,-2.27,-2.19,0.25,1.34,-0.72,-3.99,0.04,0.02,0.52,-0.17,0.10,0.13,0.52,-0.23,0.94
2,3,3,15.1,-0.13,-0.12,0.03,-0.08,-0.17,0.02,0.07,-0.04,-0.42,0.02,0.00,0.02,0.00,0.01,0.01,0.02,-0.01,0.06
2,3,4,364.7,-2.88,-2.65,0.72,-1.75,-3.68,0.42,1.47,-0.88,-9.23,0.17,0.04,0.20,-0.02,0.07,0.07,0.19,-0.09,0.62
2,3,4,42.1,-0.05,-0.16,0.08,-0.32,-0.45,0.06,0.26,-0.12,-0.69,0.01,0.01,0.06,-0.01,0.02,0.02,0.07,-0.03,0.16
2,4,5,119.9,-1.21,-1.11,0.24,-0.71,-1.51,0.15,0.53,-0.48,-4.09,0.05,0.01,0.05,-0.01,0.02,0.02,0.04,-0.03,0.15
2,4,6,100.2,-0.37,-0.37,0.15,-0.31,-0.53,0.08,0.29,-0.10,-1.16,0.08,0.05,0.11,-0.01,0.06,0.04,0.12,-0.02,0.44
2,4,6,206.8,-0.30,-0.85,0.45,-1.40,-1.62,0.26,1.23,-0.61,-2.85,0.09,0.18,0.71,-0.03,0.30,0.24,0.81,-0.30,2.01
2,5,7,244.8,-1.46,-2.60,0.60,-1.51,-1.71,0.22,1.27,-0.54,-5.74,0.15,0.14,0.21,-0.02,0.11,0.06,0.25,-0.05,0.85
2,5,7,9.9,-0.02,-0.02,0.01,-0.03,-0.07,0.01,0.05,-0.02,-0.08,0.00,0.00,0.01,0.00,0.01,0.01,0.03,-0.01,0.05
2,5,9,32.4,0.00,0.00,0.00,0.00,-0.01,0.00,0.01,0.00,0.00,0.03,0.03,0.15,-0.03,0.17,0.12,0.45,-0.01,0.91
2,6,10,12.9,-0.06,-0.10,0.03,-0.06,-0.06,0.01,0.06,-0.02,-0.20,0.01,0.01,0.02,0.00,0.01,0.01,0.02,0.00,0.07
2,6,10,11.9,-0.01,-0.01,0.01,-0.03,-0.05,0.01,0.04,0.00,-0.04,0.00,0.00,0.02,-0.01,0.01,0.01,0.04,-0.01,0.07
2,6,11,20.7,-0.01,-0.01,0.01,-0.02,-0.03,0.01,0.04,0.00,-0.02,0.01,0.01,0.03,0.00,0.04,0.03,0.10,-0.01,0.19
2,7,12,65.6,-0.19,-0.33,0.10,-0.21,-0.20,0.04,0.21,-0.03,-0.61,0.12,0.13,0.14,0.01,0.13,0.05,0.18,-0.02,0.73
2,7,12,24.4,-0.01,-0.02,0.01,-0.03,-0.05,0.01,0.05,0.00,-0.04,0.01,0.01,0.03,0.00,0.04,0.02,0.08,-0.01,0.17
2,7,13,23.5,-0.01,-0.01,0.01,-0.02,-0.03,0.01,0.04,0.00,-0.02,0.01,0.01,0.03,0.00,0.04,0.03,0.10,-0.01,0.19
2,8,14,33.5,-0.24,-0.43,0.22,-0.42,-0.27,0.03,0.22,-0.10,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,8,16,3.4,0.00,-0.01,0.00,-0.01,-0.01,0.00,0.02,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02
2,8,17,33.6,-0.01,-0.02,0.01,-0.02,-0.03,0.01,0.05,0.00,-0.01,0.03,0.06,0.10,0.02,0.08,0.05,0.19,-0.01,0.51
2,9,18,66.5,-0.30,-0.65,0.27,-0.72,-0.55,0.06,0.50,-0.11,-1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,9,18,19.2,-0.02,-0.06,0.02,-0.06,-0.12,0.02,0.14,-0.03,-0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
2,9,19,75.1,-0.14,-0.39,0.27,-0.31,-0.22,0.04,0.30,-0.04,-0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,9,19,42.8,-0.04,-0.10,0.05,-0.09,-0.13,0.03,0.23,-0.04,-0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
2,9,20,246.5,-0.59,-1.24,0.78,-0.79,-0.50,0.11,1.04,-0.10,-1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,9,20,191.5,-0.04,-0.11,0.04,-0.11,-0.14,0.03,0.35,-0.02,-0.01,0.01,0.01,0.03,-0.01,-0.01,0.02,0.04,-0.01,0.08
3,1,1,126.5,-0.44,-1.85,0.71,-2.80,-2.90,0.14,0.96,-1.86,-8.04,0.03,0.06,0.27,-0.01,0.07,0.01,0.08,-0.06,0.46
3,1,1,82.3,-0.23,-0.70,0.31,-1.18,-1.47,0.09,0.64,-1.27,-3.81,0.00,0.01,0.03,0.00,0.01,0.00,0.01,-0.01,0.05
3,2,2,97.7,-0.47,-1.21,0.39,-1.67,-1.85,0.10,0.65,-1.07,-5.13,0.03,0.04,0.13,0.00,0.04,0.01,0.05,-0.03,0.28
3,2,2,179.5,-0.45,-1.34,0.45,-2.06,-2.91,0.17,1.22,-0.97,-5.87,0.04,0.06,0.24,0.00,0.09,0.03,0.16,-0.05,0.56
3,3,3,203.2,-1.10,-1.50,0.54,-2.77,-2.72,0.21,1.23,-2.94,-9.05,0.11,0.05,0.26,0.01,0.09,0.03,0.15,-0.14,0.56
3,3,3,114.8,-0.31,-1.15,0.47,-1.80,-2.07,0.12,0.85,-1.87,-5.76,0.02,0.04,0.13,0.03,0.04,0.01,0.07,-0.06,0.28
3,3,4,297.8,-1.55,-2.12,0.77,-3.92,-3.85,0.29,1.74,-4.16,-12.80,0.25,0.11,0.59,0.03,0.20,0.07,0.35,-0.32,1.29
3,3,4,293.6,-0.77,-2.84,1.16,-4.44,-5.11,0.30,2.09,-4.63,-14.24,0.10,0.18,0.62,0.13,0.21,0.06,0.34,-0.27,1.36
3,4,5,100.4,-0.55,-0.92,0.19,-1.39,-1.34,0.11,0.64,-1.60,-4.86,0.06,0.05,0.18,0.01,0.06,0.02,0.11,-0.10,0.39
3,4,5,55.5,-0.20,-0.55,0.20,-0.95,-1.22,0.06,0.45,-0.83,-3.03,0.02,0.03,0.11,0.00,0.04,0.01,0.07,-0.08,0.20
3,4,6,144.4,-0.49,-0.81,0.33,-1.24,-1.10,0.13,0.71,-1.20,-3.67,0.19,0.14,0.49,0.04,0.24,0.08,0.35,-0.11,1.42
3,4,6,89.5,-0.22,-0.77,0.40,-1.11,-1.15,0.08,0.57,-1.02,-3.22,0.08,0.15,0.50,0.03,0.24,0.06,0.27,-0.04,1.29
