End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN
refrigeration,7,0.570882011,0,0,0,0,0.205036484,0,0,0,0,0,0,0,0,0,0,0.205944729,0,0,0.018136775,0,0,0,0,0
refrigeration,8,0,0,0.000476443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011351251,0,0.001635101,0.362702066,0,0,0.067111427,0.25482265,0.301901062
refrigeration,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002938943,0.296043083,0.402413098,0.266959355,0,0
ceiling fan,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ceiling fan,2,0,0,0,0,0,0,0,0.261488617,0.179959399,0.479362185,0.079189798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ceiling fan,3,0,0,0.107625129,0.180082259,0.19049465,0,0,0,0,0,0.333916689,0.187881273,0,0,0,0,0,0,0,0,0,0,0,0,0
ceiling fan,4,0,0,0.360798826,0.178522044,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26737272,0.191161404,0,0,0,0,0.002145007,0
ceiling fan,5,0,0.455717361,0,0,0,0,0,0,0,0.060420252,0.052325766,0,0.095394316,0.182100903,0.151920905,0.002120498,0,0,0,0,0,0,0,0,0
ceiling fan,6,0,0,0,0,0,0.079591931,0,0,0,0,0.02099252,0,0,0,0.307843565,0.591571984,0,0,0,0,0,0,0,0,0
ceiling fan,7,0.633172304,0,0,0,0,0.205693463,0,0,0,0,0,0,0,0,0,0,0.142592429,0,0,0.018541803,0,0,0,0,0
ceiling fan,8,0,0,0.000283687,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01071135,0,0.000851062,0.505815038,0,0,0.022840194,0.18741958,0.27207909
ceiling fan,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004287647,0.265884776,0.568829117,0.129352939,0,0
fans and pumps,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fans and pumps,2,0,0,0,0,0,0,0,0.21280458,0.211252784,0.491610811,0.084331826,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fans and pumps,3,0,0,0.113640946,0.193400091,0.199985438,0,0,0,0,0,0.319883795,0.17308973,0,0,0,0,0,0,0,0,0,0,0,0,0
fans and pumps,4,0,0,0.308970526,0.202711717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303938533,0.180928736,0,0,0,0,0.003450487,0
fans and pumps,5,0,0.379729921,0,0,0,0,0,0,0,0.064885715,0.055830278,0,0.102446979,0.220933992,0.173901637,0.002271479,0,0,0,0,0,0,0,0,0
fans and pumps,6,0,0,0,0,0,0.087462221,0,0,0,0,0.017989052,0,0,0,0.300722531,0.593826196,0,0,0,0,0,0,0,0,0
fans and pumps,7,0.603494996,0,0,0,0,0.186705842,0,0,0,0,0,0,0,0,0,0,0.193119514,0,0,0.016679648,0,0,0,0,0
fans and pumps,8,0,0,0.000288518,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009770722,0,0.001318223,0.527747611,0,0,0.037552571,0.157587416,0.265734941
fans and pumps,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00805915,0.267502031,0.517210064,0.175583233,0,0
plug loads,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plug loads,2,0,0,0,0,0,0,0,0.242640054,0.194473983,0.482347759,0.080538204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plug loads,3,0,0,0.135378547,0.175424008,0.192214277,0,0,0,0,0,0.319163848,0.177819321,0,0,0,0,0,0,0,0,0,0,0,0,0
plug loads,4,0,0,0.377062905,0.166841432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255687517,0.196439553,0,0,0,0,0.003968593,0
plug loads,5,0,0.296179397,0,0,0,0,0,0,0,0.084236543,0.076641252,0,0.130010953,0.235279009,0.174772739,0.002880105,0,0,0,0,0,0,0,0,0
plug loads,6,0,0,0,0,0,0.076108699,0,0,0,0,0.023377111,0,0,0,0.263467788,0.637046403,0,0,0,0,0,0,0,0,0
plug loads,7,0.582827774,0,0,0,0,0.199668993,0,0,0,0,0,0,0,0,0,0,0.198733546,0,0,0.018769687,0,0,0,0,0
plug loads,8,0,0,0.000339873,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01111354,0,0.001671033,0.373789239,0,0,0.057411247,0.256962331,0.298712738
plug loads,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002478631,0.306686703,0.412084722,0.247104423,0,0
pool heaters,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pool heaters,2,0,0,0,0,0,0,0,0.112209704,0.351101071,0.486998221,0.049691004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pool heaters,3,0,0,0.208648633,0.144977023,0.183872417,0,0,0,0,0,0.329472659,0.133029268,0,0,0,0,0,0,0,0,0,0,0,0,0
pool heaters,4,0,0,0.195798915,0.210818812,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435074649,0.135852025,0,0,0,0,0.022455598,0
pool heaters,5,0,0.371517018,0,0,0,0,0,0,0,0.040513517,0.03140705,0,0.06190922,0.269505378,0.220480519,0.004667298,0,0,0,0,0,0,0,0,0
pool heaters,6,0,0,0,0,0,0.110202806,0,0,0,0,0,0,0,0,0.383371977,0.506425216,0,0,0,0,0,0,0,0,0
pool heaters,7,0.556513465,0,0,0,0,0.229900458,0,0,0,0,0,0,0,0,0,0,0.210688814,0,0,0.002897263,0,0,0,0,0
pool heaters,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030321907,0,0,0.70409513,0,0,0,0.012218598,0.253364365
pool heaters,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004345166,0.439115921,0.514829771,0.010063619,0,0
pool pumps,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pool pumps,2,0,0,0,0,0,0,0,0.14681094,0.234399751,0.515341513,0.103447796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pool pumps,3,0,0,0.099092578,0.182289057,0.230174409,0,0,0,0,0,0.34353084,0.144913115,0,0,0,0,0,0,0,0,0,0,0,0,0
pool pumps,4,0,0,0.292857671,0.218751416,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310171988,0.174434336,0,0,0,0,0.003784589,0
pool pumps,5,0,0.318277752,0,0,0,0,0,0,0,0.061267942,0.058136492,0,0.104803551,0.254177686,0.199901236,0.003435341,0,0,0,0,0,0,0,0,0
pool pumps,6,0,0,0,0,0,0.099044514,0,0,0,0,0.016213774,0,0,0,0.33215106,0.552590652,0,0,0,0,0,0,0,0,0
pool pumps,7,0.563090654,0,0,0,0,0.207305015,0,0,0,0,0,0,0,0,0,0,0.215294523,0,0,0.014309808,0,0,0,0,0
pool pumps,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025470774,0,0.000785063,0.644503896,0,0,0.014893395,0.067116966,0.247229905
pool pumps,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004026412,0.39016198,0.498841293,0.075324794,0,0
portable electric spas,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
portable electric spas,2,0,0,0,0,0,0,0,0.172601391,0.23610654,0.500595932,0.090696138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
portable electric spas,3,0,0,0.118606223,0.187897175,0.217273254,0,0,0,0,0,0.336750214,0.139473135,0,0,0,0,0,0,0,0,0,0,0,0,0
portable electric spas,4,0,0,0.371644946,0.156647926,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265960405,0.200641275,0,0,0,0,0.005105448,0
portable electric spas,5,0,0.31417175,0,0,0,0,0,0,0,0.065614046,0.069013322,0,0.106237928,0.25491627,0.18638571,0.003660974,0,0,0,0,0,0,0,0,0
portable electric spas,6,0,0,0,0,0,0.078059562,0,0,0,0,0.018101696,0,0,0,0.295826932,0.60801181,0,0,0,0,0,0,0,0,0
portable electric spas,7,0.582882971,0,0,0,0,0.20734953,0,0,0,0,0,0,0,0,0,0,0.196203995,0,0,0.013563504,0,0,0,0,0
portable electric spas,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010655279,0,0.003088028,0.440270134,0,0,0.053469767,0.203576545,0.288940247
portable electric spas,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002970088,0.297862015,0.364057144,0.303465232,0,0
